Flux Theme,ثيم فلاكس,App Name
Flux UI Theme,ثيم فلاكس,App Description
Settings,الإعدادات,
Save,حفظ,
Cancel,إلغاء,
Submit,إرسال,
Delete,حذف,
Edit,تعديل,
New,جديد,
Search,بحث,
Filter,تصفية,
Export,تصدير,
Import,استيراد,
Dashboard,لوحة القيادة,
Report,تقرير,
Reports,التقارير,
Help,المساعدة,
About,حول,
Documentation,التوثيق,
Onboarding,التهيئة,
Getting Started,البدء,
Configuration,التكوين,
General,عام,
Advanced,متقدم,
Actions,الإجراءات,
Status,الحالة,
Active,نشط,
Inactive,غير نشط,
Enabled,مفعل,
Disabled,معطل,
Created,تم الإنشاء,
Modified,تم التعديل,
Name,الاسم,
Title,العنوان,
Description,الوصف,
Type,النوع,
Date,التاريخ,
Notes,ملاحظات,
Remarks,ملاحظات,
Total,الإجمالي,
Amount,المبلغ,
Quantity,الكمية,
Rate,السعر,
Error,خطأ,
Success,نجاح,
Warning,تحذير,
Info,معلومة,
Confirm,تأكيد,
Yes,نعم,
No,لا,
Close,إغلاق,
Back,رجوع,
Next,التالي,
Previous,السابق,
Loading...,جاري التحميل...,
No data,لا توجد بيانات,
Permission denied,ليس لديك صلاحية,
Not found,غير موجود,
Required,مطلوب,
Invalid,غير صالح,
Duplicate,مكرر,
Theme,Theme,Module
